name,homepage,profile
"Niko Kaciroti, PhD",https://sph.umich.edu/faculty-profiles/kaciroti-niko.html,https://sph.umich.edu/faculty-profiles/images/nicola.jpg
"Arvind Rao, PhD",https://sph.umich.edu/faculty-profiles/rao-arvind.html,https://sph.umich.edu/faculty-profiles/images/ukarvind.jpg
"Maureen A. Sartor, PhD",https://sph.umich.edu/faculty-profiles/sartor-maureen.html,https://sph.umich.edu/faculty-profiles/images/sartorma.jpg
"Matthew J. Schipper, PhD",https://sph.umich.edu/faculty-profiles/schipper-matthew.html,https://sph.umich.edu/faculty-profiles/images/mjschipp.jpg
"Ananda Sen, PhD",https://sph.umich.edu/faculty-profiles/sen-ananda.html,https://sph.umich.edu/faculty-profiles/images/anandas.jpg
"Kerby Shedden, PhD",https://sph.umich.edu/faculty-profiles/shedden-kerby.html,https://sph.umich.edu/faculty-profiles/images/kshedden.jpg
"Yajuan Si, PhD",https://sph.umich.edu/faculty-profiles/si-yajuan.html,https://sph.umich.edu/faculty-profiles/images/yajuan.jpg
"Yilun Sun, PhD",https://sph.umich.edu/faculty-profiles/sun-yilun.html,https://sph.umich.edu/faculty-profiles/images/yilunsun.jpg
"Veronica Berrocal, PhD",https://sph.umich.edu/faculty-profiles/berrocal-veronica.html,https://sph.umich.edu/faculty-profiles/images/berrocal.jpg
"Hyungjin Myra Kim, ScD",https://sph.umich.edu/faculty-profiles/kim-hyungjin.html,https://sph.umich.edu/faculty-profiles/images/myrakim.jpg
"Shawn Lee, PhD",https://sph.umich.edu/faculty-profiles/lee-seunggeun.html,https://sph.umich.edu/faculty-profiles/images/leeshawn.jpg
"Bin Nan, PhD",https://sph.umich.edu/faculty-profiles/nan-bin.html,https://sph.umich.edu/faculty-profiles/images/bnan.jpg
"Brisa Sanchez, PhD",https://sph.umich.edu/faculty-profiles/sanchez-brisa.html,https://sph.umich.edu/faculty-profiles/images/brisa.jpg
"Douglas E. Schaubel, PhD",https://sph.umich.edu/faculty-profiles/schaubel-douglas.html,https://sph.umich.edu/faculty-profiles/images/deschau.jpg
"Morton B. Brown, PhD",https://sph.umich.edu/faculty-profiles/brown-morton.html,https://sph.umich.edu/faculty-profiles/images/mbb.jpg
"Jack D. Kalbfleisch, PhD",https://sph.umich.edu/faculty-profiles/kalbfleisch-jack.html,https://sph.umich.edu/faculty-profiles/images/jdkalbfl.jpg
"James M. Lepkowski, PhD",https://sph.umich.edu/faculty-profiles/lepkowski-james.html,https://sph.umich.edu/faculty-profiles/images/jimlep.jpg
